,sentiment,content
1444,1,club no party ive spent friday saturday night workin music quit content
1445,1,proud dr house detoxing amber hallucination evil
1446,0,visadharah still disney just trained soarin rose same applied apartment last night eric lost job
1447,1,watching jonas nick s beautiful voice put sleep
1448,0,dream went evo fest didn t
1449,0,rebelraising yeah lying bed thing s bugger blocking creativity worse pinned pet cat apparently
1450,0,ugh gone new phone screen black mean texting
1451,0,brodyjenner live manchester england still never london
1452,0,jay leno s last show tonight
1453,0,need see band live damn blink coming uk year anyone wanna go see billy bragg colin blunstone me
1454,0,one love brittany forgot flower
1455,1,wow it sarah congrats sarah thats awsum
1456,0,triniaguirre miss
1457,0,aholston homework bound whole weekend fun
1458,0,sometimes forget favorite porn star real people too bobbyclarkxxx made orange chicken last night cut finger off sad
1459,1,stereophonics http twitpic com p feel really emotional great seeing pic keeping you gonna
1460,0,pembsdave lmao im gutted co didnt come right
1461,1,one mum s happy mother day amp special mention one newest member holly jane hope dhughesy good u amp u
1462,1,fun wango tangooo
1463,1,yes make obama
1464,1,laydmaxix aww keep sending
1465,0,zachsang nina picked call lastnight didnt know talking like totally didnt answerr
1466,1,first day new job bought new clothes already employee discount
1467,1,christa mean post concert blue lol well soooo know mean
1468,0,watching original sabrina teenage witch movie different series rad
1469,1,actually got bit tan today haha sadly working weekend get chance enjoy glorious sunray boo
1470,1,helencrozier yes fun connect her pls tell hello can t find twitter
1471,1,time sign night everyone great one mother s quot happy mother s day quot
1472,0,tmg tried help
1473,0,got early shit ton im headed cherokee park run walk
1474,1,get see hopefully meet guy next week rotr wait adelitas way invincible http blip fm ynxr
1475,0,alex
1476,0,cinemachic failure using lacie drive
1477,1,playing pacman itouch lol
1478,0,oops meant tr sorry lol
1479,1,probably person world us tweetie ipod touch amp iphone ghetto haha
1480,1,good morning want breakfast
1481,0,orbicule wow great promo orbicule english translation somewhere norwegian good
1482,0,working working working www redirlanda e many hour spent worth letï¿½s make red irlanda big
1483,1,celebrating mother s day apple pie
1484,0,chevelleluv p s sorry ur uncle
1485,0,got really sick today text later nap time
1486,0,ugh report monday
1487,0,eddievedder luck u coming detroit luckily seeing u crew chicago
1488,1,feeling better something tummy
1489,1,sure let mom know fabulous think are almost mother s day
1490,1,black canyon seriously best fusion food around
1491,1,naomijlea good job track head co sadly can t access it boo
1492,1,asununique apple done impressive thing almost year old macbook except poured coffee keyboard
1493,1,who the heck haha lol english work doo college
1494,0,perezhilton hey perez good luck well still planning big present given mom love mom
1495,0,kerry threw ball anand bounced head landed lunch exploded everywhere
1496,1,babyvibenancy hi nancy fine till baby move get house amp fun stuff early hardest jump
1497,1,liljizzel hahaha yes am lil jon freakin jizzle u know named st puppy u lil jizzle remember lol xoxox
1498,1,got it good happy mother day
1499,0,irize yea yea im torture stanky leg marathon ima dance hr til can t mo
1500,0,holy wow think could ve slept day soooo tired
1501,0,helloinsightful cereal doesnt come toy anymore jus thinkin buyin wrong kind say aint mo
1502,0,tcwmatt oh no well get back lot picture
1503,1,haoranc go it
1504,0,pain earlier gym session necessary evil much beer past year
1505,1,ctakeaway great remix it double wow
1506,0,jordanknight good day u cheer tweet even tink do lol
1507,1,dressed everything
1508,0,awww daddy got car accident pray him shook n lil
1509,1,quicheismadness thanks following pretty complicated id lol
1510,0,really really bored bad know news thats ok brb x
1511,0,wossy smashing show tonight love killer wish there gutted shame got cut mid song end
1512,1,dinner rainforest cafe laura
1513,0,dimepiecemag ahhh u know ur sh t love it lol how s next issue coming along loop sowwy
1514,1,blondie hk funny
1515,1,mercedez ta much happy b day g son
1516,0,thehebrican trade weather gloomy today la
1517,1,ileanedover heyheyheyy happy star war day watcha doin friday movie
1518,0,gasfreecommute i d love able bike bus walk work safe area
1519,0,always feel last
1520,0,friday night working
1521,0,jerzegurl hiya missed too to
1522,0,teach bunch fifth grader morning oh joy
1523,0,mizzlalabaybii kewsboogie im lonely right now maybe sade got feeling like
1524,0,done geology really missing favorite sister especially can t go banquet tonight
1525,1,good all hanging dad day looking job still
1526,1,amber benson woohoo well done started macarena ing
1527,1,chrissinicole guess thats lol
1528,0,neil picked show tailights cause heartless hit run
1529,1,cub game cold think going rain
1530,1,tell yo mamma em axe durrin said happy mother day
1531,0,http twitpic com s saw family five get motor home laundromat clean clothes bedding
1532,1,time kathleen go bed waaaaay past time expect hear noon lol blessed morning
1533,0,omfg head
1534,1,chachada yeah im following you hun goodnight
1535,0,wyatthaplo haz beer too oh wait work
1536,1,good day
1537,0,im tired bored sad what great evening
1538,1,tiiiiiiired going bed drinking lead making boy later forget name drink kid goodnight
1539,0,sashaboucher omg know ruin weekend suree want too
1540,1,saw star trek amazing seriously good entire cast excellent spock kirk especially want see again
1541,1,made way round park jogging quite pleased th outing
1542,1,putitonmyvisa haha nice heard sweet hotel another note good game last night
1543,1,littlefletcher hey ive seen musical live funny lol
1544,1,finally gonna try fall asleep goodnight like morn sleep
1545,0,day away evicted
1546,0,morning everyone sorry going early last night bad news felt totally crap today new day
1547,0,home alone one left gummy bear
1548,0,got home work foot killing
1549,1,grey anatomy fuckn awesome atm
1550,0,ddlovato caan t iht earlier icant wait long ahar
1551,1,day start moving
1552,1,look like sun making comeback midwest happy monday
1553,0,paaaulaaac even life pretty good always say shitty
1554,1,early morning am what s up am played w baby outside wow wa s felt great got lonely miss sissy jess
1555,0,jennabeaniscool need hug anymore
1556,1,missxmarisa haha yeah think bit
1557,0,lilyroseallen yes there many cool thing american cannot watch
1558,0,lizridley no better people know autumnrose going chiodos tonight right kill something me
1559,0,coliwilso hug still feeling poorly
1560,1,eaten feel extremely bloated fun part
1561,1,heading hollywood studio today manta kraken awesome yesterday feeling like ride
1562,1,cindeelean wake week funny deathcab make think you amp use calendar track work hour
1563,1,officialtila idea good dinner happy munchin
1564,1,jaydoub hello im good thank tottaly tired working lot today tottaly shattered u
1565,0,feeling better today still sick
1566,1,halfwelshdragon cake sure look good took one ok ummm good tks
1567,0,got right bad headache
1568,1,flippy deh wish deal bought macbook december but least got buck off
1569,1,watched star trek liked making mother card listening tunage copeland exact
1570,0,matty le tired
1571,1,lauradawg lol okay song catchy get stuck head
1572,0,still eat still office get sick throat day leave air condition throat killing tour bus
1573,0,spacerbunny oh suck thank god laptop
1574,1,rachmaninoff make happy panda
1575,1,slinkawoogie honored hear name breezy track hope u liked shit drunk bowling
1576,0,going go bed amp failed miserably booking holiday although seem new follower high five x
1577,1,listening house music what else got gig san francisco next friday detail www myspace com djspy
1578,1,feeling today going amazing
1579,0,mitchelmusso wish could call live uk cash call
1580,1,good morning wishing everyone great week
1581,0,weather let morning ugh hada gd nite tho
1582,0,looking daughter baby picture make heart hurt
1583,1,crimsonmuse saw this im freakin starving right now thinking peanut butter fudge ice cream amp steak course
1584,1,boredgirl ask twitter id sun sign
1585,0,rafealanthem yes ready go got here ugh sooo pretty outside
1586,1,welcome doeko really glad know here product rox man
1587,1,rachaelphillips wow really pretty talented lady impressed
1588,0,idk im hyper im jumping everyhere ugh let let friday sweeney todd cinco de mayo il party
1589,1,bumblebeex awesome maybe someday find book bestseller list lol
1590,0,frank urquidez miss u
1591,1,went muslim marriage first time life came back stomach full tasty briyani really like much
1592,1,hey chelsee amiera lt ufc gt
1593,1,noxhanti lol gt mention it pleasure
1594,0,krisreyes btw bot
1595,0,wowowee willie fortune making depressed damn love
1596,1,superficialgirl yeah tomato paste oil traditional sandwich eat olive maltese cheese yum
1597,0,sweena can t charge hour then
1598,0,parsnipzilla ohtays make sense now cool
1599,1,richa august haha may be hehe might imported love heat love playing football hot day
1600,1,emmieman ur moomie liked pandora buy one next lol
1601,1,toy story june can t wait long
1602,0,joek depressing stuck inside day
1603,0,stormyamorette one day loneliness creep slap face
1604,0,gheekchik hmmm the one restaurant one grocery sad dukbolgi
1605,1,jeffparks naw i ll keep in turn odd nugget wisdom
1606,0,pm fri night amp sitting home alone
1607,0,still stupidly sick cancelled philly trip sad day
1608,1,jackalltimelow lucky that s awesome
1609,0,jus skinned knee wat hurt lyke hell tho always tha little one hurt tha most
1610,0,know rule say always point knife away you learned lesson one straight finger
1611,0,geneva rockett know laughed stupid woman s right s joke wth glad humor
1612,0,happy sad may soul rest peace
1613,1,deepaprabhu thanks thanks
1614,1,ganga pleasure great recipe
1615,1,anyone want really awesome buy one birthday http poprl com vn
1616,1,ishanikki congratss
1617,1,wooh th tweet life xd
1618,0,think perfect weather go camping cuddle dave star sleep
1619,1,treiz do still twitter com monicafrancesca see gino drag monicafrancesca ginoboi fun
1620,0,mandyyjirouxx mandy let vote want win can t help gonna jump bridge kidding sux
1621,0,naataalieee yeah point gt lt please dont make feel worse
1622,0,feel bad kid sick
1623,0,lulion praying you sorry hear bro man
1624,0,jayisfly jess invited feel really unloved u aj right hahaha
1625,1,gooooood morning
1626,0,crust there s air
1627,1,charliestyr hella worth it even need full now
1628,1,listening sunlounger s music waiting sun set
1629,0,growwear unfortunately u look like funny people twitter move fb start own flitter
1630,0,took guy think bluff three time row get away it back showing shit work
1631,0,figure quoted wildly optimistic stuff science fiction bit disapointed ciber sabip
1632,1,proud nau graduate friend getting ready celebrate tonight international ordeal
1633,1,fatally yours that s stunning
1634,0,friday treating well far
1635,0,whuuurrrrr gland really swollen now guess weekend s blow out
1636,0,horrible day
1637,1,watched yes man good http tinyurl com dbrc
1638,1,wow weekend pretty fucking epic grr school tmrw
1639,0,thankful last minute doc appointment baby girl temp sitting doc s waitin
1640,0,shake sadly robot song library
1641,0,dreading work tomorrow wish one day
1642,0,missed tapulous giving away ttc code
1643,1,lisibo quot grace skill newborn giraffe quot great visual aid fabulous language use example kid thx
1644,1,excited enfest yaaaay
1645,1,natalietran really like http tinyurl com cmhr reminds little favor hfw
1646,0,apparently starwars day today like shame revision though
1647,0,madeofhoney im sorry dont wanna cuz u act u turn right around ignore
1648,1,goodnight
1649,0,long day office again tiring week
1650,0,xdjio ware se fast enough x x m ssd raid mhz iop hpt might try adaptec ghz
1651,0,jhonenv need horror lovecraftian actually enough weird horror movie
1652,1,caffeinefueled welcome back
1653,0,roxiedax ten hour ago sleeping sorry
1654,1,lulliecarole delicious let walk sometimes hubby others miss
1655,1,today peek a bo going two year best two year ever
1656,0,hippyofdoom even get chance shop aldi
1657,0,heap keen next weekend mummy lt
1658,1,fromlucy thank dearie followed dome too
1659,0,blog crashing browser
1660,1,chris shield good job wish worked zoo
1661,0,save pix today show please credit www wireimage com thanks
1662,1,http twitpic com wzh son finley
1663,0,miss wacom especially mouse laptop touch pad horrible
1664,0,oh no sun s gone
1665,1,danielleadalis ending te funniest see jonasbrothers know paranoif always stuck head love it
1666,1,today check day week artist s way hurray time celebrate another good completed journey
1667,1,reception food long beach graduation champagne http twitpic com eba
1668,1,em hahhaha indeed kinda like spoon hahaha
1669,1,incredibly happy person energy love dance amp laugh the thing know i m one earth ppl
1670,0,sleeping lost voice couple day ago
1671,1,ilsedelange elephant lol try painting back
1672,1,kirstiealley nice soon pay tweet
1673,0,tired
1674,0,chris sab comme estas bitch
1675,0,lyricals care struggle
1676,0,nightrpstar think so hired someone that
1677,0,miss puppy
1678,1,kimmimcfly think start david archuleta might throw glitter aha xx
1679,1,andysowards andy great am wall first day event apart exciiiiiiiting r u mate
1680,0,arabic girl who s online every one sleep
1681,0,daddy left go back home texas c hopefully n next two month
1682,1,dai bach daps best lol
1683,0,ayesham bored class wanna go home
1684,1,land pillow blanket mm fan high mention blanket favorite time ever
1685,1,headgeek watched standard dvd d version blu uk yet d effect best seen home system yet titty d
1686,0,aaronhoskins fucking miss band much
1687,0,urge go shopping hmmm got money how
1688,1,ok im pass out tonight lovely buenas noches mi gente tomorrow shall party again
1689,0,home sick
1690,0,didnt enjoy say goodbye alex v emotional time sun making happy
1691,0,s retro prom wishing dance with gonna miss great dancing nite still blast amp drink
1692,0,amalah jealous supposed go see seattle friend summer bail work
1693,1,beautiful morning mountain
1694,0,hurt me bring joy see cry know love anything yet u break heart everyday
1695,0,nobody love twitter
1696,1,great time mpix shootout great thanks mpix
1697,1,deiu guy moving la far shall make castle leave
1698,0,got bullied dillah help
1699,0,way school feeln rainy day all lot fun weekend
1700,1,raenewman called me get that nest time sure maybe come la soon hella wana go disneyland
1701,0,livefreet awww that s sad
1702,1,fever awesome tonsil swollen can t even eat solid food still location picture rule though
1703,1,family bbq today amp fave cousin come
1704,1,marvetbritto awesome that s wanna roll become mogul status
1705,1,heloloser thanks clair watched yet
1706,1,much fun tonight soo excited get home go sleep
1707,1,review done new sentence iknow done wow role
1708,1,playing elgg cool new website hopefully ready soon
1709,0,sleep im not thinking old friend want married now damn amp want scandalous
1710,0,last business day month wrong time get new tag people
1711,0,allysonrobinson a well bell hook teaching transgress sometimes miss teaching amp messing bad system
1712,1,oh great radio disney crash latest webkit kid run again hey wait
1713,0,dawnrichard awww that s nice make really beautiful couple balance other
1714,1,futureclassics ben jerry yummmmy
1715,0,yenbearr yi ryke it
1716,1,huge test parent house food good stuck one helping second feel good
1717,1,happy mother s day
1718,1,junelover email em email gave u thanx awesome person
1719,1,hannbob http twitpic com jf hehe cute pose
1720,0,ughhhhhhhh feel good
1721,0,woke nap ate nasi padang pisang cokelat
1722,0,can t wait come home miss bubba bad parent taking canada
1723,1,omds holly steel bless her x
1724,0,gonna suck sober one tonight
1725,1,nextread agree keep star trek make commercially viable c mon
1726,1,xoxokimmie good morning
1727,0,fell sidewalk harvard square stupid cobblestone hand hurt
1728,0,eraticschematic pretty bored
1729,1,iamdakota oh cool gonna van thats cool live victoria well ur pree awesome girl
1730,1,niariley wassup beautiful follow me peep new hit single www myspace com ipsohot def wat u video
1731,0,im joining twitter lol
1732,1,emmilyxoxo wow that must sooo cool
1733,1,hobbz really think awesome discus
1734,1,joejonasfan know too
1735,1,weather nice many hot guy town felt like kid candy store except candy straight
1736,1,totally long since updated saw star trek excellent killed yogg saron man memorial day killed man raid
1737,1,rap battling second sat moviesss haha quot i swim lake sex quot matthew m ghost girlfriend past
1738,1,daniamiwa parade yesterday powderhorn guessing ava bella similarly mesmerized whimsical fairyness
1739,1,jerennyofficial hahah jonas min woop woop fun doug cmmt convo magical hahaha
1740,1,got new dog
1741,1,writer quot they make wonder why foisting little pipe dream story head onto people quot like writing
1742,1,solobasssteve morning dude ivy decided want go boat today guy around pm would nice see you
1743,1,czarina ah seen both either way get experience fantasy sound shock wave vacuum space heh
1744,0,ksegiii cousin moved like year ago miss much looking facebook im sad
1745,1,woke up hopefully going see xmen film today
1746,0,fml today suck hope dance bring soul up pray im still sad i hateee todayyyyyy gt
1747,1,dentist chick hot thats plus
1748,1,frama c oh yeah point taken
1749,0,laurenlovesjb can t grandma probably phone get aim
1750,0,yourboogiegirl dude same hurt
1751,1,yohanik hehe found wikipedia page movie last fm confirms it thank you http is gd iprr
1752,1,rocked home maccas signing petition big bang tour au lol
1753,0,boring day today broke can t go see friend s band tonight maybe q tomorrow though
1754,1,jessicacorban stellar look great
1755,0,poor phone nekkid without cover
1756,1,adneonheart oh god finally found someone online haha
1757,1,ikostar well twitter year think lot easier monetize less need differentiated pay nopay
1758,0,solangeknowles freaking awesome solange happy mother s day wish mom like you sad blah best wish
1759,0,feeling good kinda tired miss him can t wait grad weekend
1760,0,four hour fifteen minute three day packing spree ugh work
1761,1,sevenspoons like mine green somehow taste minty otherwise heh heh
1762,1,jayjager well donkey appeal sure
1763,1,hitting fairly empty shop orlando downtown disney later http tinyurl com cdsuws
1764,0,cancelling javaone http ff im nzth
1765,1,emmielovegood nope way home now
1766,0,nw macedonia rainy day row
1767,0,http twitpic com b miss bestfriend left school
1768,1,dianaray know excited them
1769,1,ncteacher appreciate
1770,1,luigiiiiii whatever know like it hahahhah
1771,0,dakshinamurti yet sorry
1772,1,alexarpd nice action shot http bit ly mzfx miss working pole dont see client everyday lol
1773,1,good morning everyone
1774,1,cold nearly gone yayness grey anatomy tonight double yay
1775,1,happy mother day x amp go docker
1776,1,playing pacman box a achvs taking g exactly nice
1777,1,bbq s gone well weather stayed good right bonus bed training morning work
1778,1,heading kitsilano bbq weather b e a utiful x
1779,1,got brace tightened today got mcdonalds haha sport tomorrow yay yay yay netball tryout wish luck make team l
1780,0,wish go root pinic
1781,0,going work people party going home visit grandma sadness
1782,0,elleipein aww honey sorry
1783,0,really missing hockey already night dtn naperville can t wait day tomorrow work sunday
1784,1,weather starting better shine
1785,1,happy star war day
1786,0,selling drumset sad day
1787,1,http twitpic com who mommy gummy mother day posterrr
1788,1,anyone know anyone made aliyah help nefesh bnefesh please contact me would love talk them
1789,0,wish hanging kobe right
1790,1,beccyr program show twitter facebook status update one alright yeah probably use often
1791,0,wired sad
1792,0,okay whats twitter laptop completely broke computer acting dont reckon
1793,1,pimplepopper get copy wanna watch also
1794,0,mtmodular pixy number give energy rush playing festival close june work go
1795,0,elf princess hehehe barry killer u need pic
1796,1,went outside picked flower marina love picking flower haha
1797,1,bigeyedfishie amazing best time hope good weekend too
1798,1,girlwhoshould fun blatantly ignore advice
1799,0,last day st andrew spend west sand packing
1800,1,call wierd jus luv rainy day make feel warm amp cozy inside lol
1801,1,happy mother s day
1802,0,jwalsh damnit all suck one one thought drag back lol
1803,1,third date went well moving fourth
1804,1,thanks guy follower
1805,0,victoriax im sorry
1806,1,rasga yep http bit ly yyid go christmas treat
1807,1,aww sunny day tasty barbeque family got bad sunburn though
1808,1,wow virtualpc screen go black anymore win rc also there s nvidia driver crashing i m happy upgrade
1809,0,puppaz really suck feel bad least woke eight
1810,0,running around town kathleen she s leaving month
1811,1,teresamerica oh yeah is see really get going lol care like heheheheh great
1812,0,narrated kool it s job blame
1813,1,magpie thanks well
1814,0,officially hit wall totally nonfunctionalproductive work
1815,1,good lord seen agency work upcoming open day money jam
1816,1,gettin ready hit mall w my mom amp jayden thing w faith
1817,1,marisette weird maybe update sent phone haha
1818,0,stratus going bye bye today loved car high school fb
1819,0,kellyolexa monday start friday least work day week long day
1820,1,good job
1821,0,finally got call marriage counseling day late
1822,1,tranced yes mate friday
1823,1,time mimi s
1824,0,wish parent put chinese school younger then much easier get job
1825,1,yvasquez thank sister
1826,1,already back shopping nice monday roast
1827,1,good morning twitterworld slept less
1828,0,want ride bicycle today cold cloudy today http snipurl com izzsn
1829,1,cocodishman wasssup cocoliciousness knew u recognize me how s ur daughter
1830,1,aww heard missed two logieo amp egg
1831,1,itto dear itto could possibly bad xo
1832,1,oscarrplz thanks oscc changing lately like layout lt
1833,0,listening am teddy picker saw grabbed seemed
1834,1,whoaaitskristi omg that s awesome first time ever seeing day come out demi taking day haha
1835,1,rbmartin yeh knew wot meant kinda lol seems alot radio bod here i ve lost count
1836,0,bye daddy see tuesday
1837,1,great motorcycle ride along hood canal gig harbor today warm great sunshine stunning day
1838,1,teifion thanks glad liked it flower made diamond
1839,0,um arent episode lost season abc good thing im going vega keep distracted tragedy
1840,0,theaidenash hey hunny bunny what s weekend like day something
1841,1,excited cwpm tomorrow one member going still good start
1842,0,finished mtml assignment like all feel like missed lotsa point word limit hmmpph
1843,0,feelin depressed miss soo damn fcking much besties i wish wouldnt left yt
1844,0,murray got broken
1845,1,done haha house md marathon ulet
1846,1,happy mother s day mom
1847,0,bonescrazy week too but biology exam revise bone time limited
1848,1,secretvampire nice see twitter
1849,0,brendonbudness unfortunatley tooth kind crown
1850,1,teresanguyen oo ok opened twitterfon said reply like lauren conrad andswere haha
1851,0,get sucked true life steve o documentary intense love shit nice see people get life back
1852,1,irishprincess great meet ya katie awesome show sure safe travel home
1853,0,ill bored bank holiday nothing open bad time film
1854,0,think gay
1855,1,stoked spring amazing wild food nature abundant bless up
1856,0,omg keep losing follower sad want one day thats goal d
1857,0,feel type way cause im talkin anyone
1858,0,ohhhh sad i didnï¿½t get it
1859,0,need push diet last level good last week lost lb better gain
1860,0,sparkin sorry missed farm today dm would like photo today
1861,0,melii that s true still suck though cause quot lolol original ohshit quot so yeah thanks
1862,1,paulbay bit lie in eaten bread way good giveaway
1863,1,getting ready day work till close
1864,0,sometimes thing say hurt one love unintentionally never ever take back fix it
1865,1,ninjen really enjoying drown tear
1866,1,thereisaseason fun see glimpse life
1867,0,mexico city traffic beating rush hour make aeropuerto
1868,0,soooooooooo glad learn farrell ice cream parlor staging comeback so cal bad mission viejo mall
1869,1,gothlitchic nice inside
1870,0,suewaters sorry failed grasp meaning
1871,1,going head bed finally goodnight hopefully dream consist ravishing thing a zachary quinto
1872,1,stuntazian still them yay gonna eat
1873,0,listing old jb music going bck amp lt miss tht
1874,1,phone w chantellie lt
1875,1,oh forgot happy star war day may fourth you
1876,1,realbillbailey good moring mr bailey birthday today
1877,1,stayingyoung usually choice lucky food love generally healthy except ice cream
1878,0,sick tired rain
1879,1,good morning everyone hope great day even though monday keep smiling
1880,1,curious case benjamin button excited fucking movie
1881,1,mint choc ice cream whilst studying now thats good
1882,0,monodi lol
1883,1,want greet mom s happy mother day may enjoy day
1884,1,myboybarians laughing quot ah ha quot moment get coffee
1885,1,great night old friend we re still quot home town hero quot some thing never change
1886,1,gonna give guest lecture tomorrow pe mandya opengl
1887,0,bye bye south beach u never let
1888,0,weirdest hive leg arm heck allergic to itch bad dang it
1889,0,room empty
1890,0,um think text msg quot subject line quot fail
1891,0,ninjapixie sorry loss know feel lucky cat
1892,1,wondering big rumored new large screen kindle http is gd wyfi and start seeing k textbook
1893,1,best show life mcfly rock world wanna meet guy
1894,0,millys yummy asian food haha listening let go sad song
1895,1,actually great start day hope continues getting new american oversized bed evening
1896,1,watching nemecek go computer fun lol keed norm fun
1897,0,throat hurt gonna go read go bed text mee
1898,1,day going well far meeting though
1899,1,ohshititsdre awww didnt see till edwin left knew wanted some forsure tomorrow make u new batch
1900,1,cyberprvideo heard of first mention me
1901,0,fixed favourite heel fell wear
1902,0,everybody need time thier gun n rose x http blip fm zkz
1903,0,rdougan wish wa well past hour been bed proper migraine
1904,0,storm system looked bring u rain today going miss u
1905,0,blow torch broken real bummer
1906,0,missed iron chef
1907,0,snowgirl avoid burning desire say already one no room piglet enough room chuck
1908,0,shi gaming thingy mine finally died year rip
1909,0,bored miss everybody already
1910,0,adotevans im bad day
1911,1,sarinnejonas thats cool
1912,1,kinahboo imma miss dem kobe nd bron commrcials wen cleveland get knocked doe wer funny
1913,0,frgmnt know lame
1914,1,good morning twitter bugsssss am day start nowwwww
1915,1,night night twit im glad waking saturday work printer broke though
1916,1,way home then sleep seeing amber pacific tomorow besties
1917,0,work tom
1918,0,battery low boooooooo palm spring ca http loopt u sljbw t
1919,0,proctorsarm least posada good ab
1920,1,thetahealermaya u re welcome thank sharing excellent content
1921,1,can t wait hand work tomorrow im practically finished year yay
1922,0,spring awakening cannot wait start last time ever boo sad time
1923,1,took math test today day test teacher say bring calculator luke confident teacher decided calcs
1924,0,enchanted myst soooo disappointed look like btw image gone
1925,1,manang back great dinner super busog o
1926,1,duck ily thanks coming out cuz
1927,0,right must sewing bye x
1928,0,sandyvanessa awwh im sorry much longer
1929,0,also really missing sami thought would throw one there
1930,1,jensen ackles new twitter new supernatural im day old jst ordered st season seein gud random ep lastnte
1931,0,datdoodrace thts kinda young me boo
1932,0,mommy like quot whyyyyy quot
1933,1,happy star war dayyyy d hbd uncle lee
1934,0,agarcia r u defensive bus mean me make sad
1935,0,splitting headache
1936,1,remzology amazing due time constraint could visit meadow pine forest shall post image later
1937,0,well look like hurdle out
1938,1,hey im back on msn work darn msn haha can t stop thinking d movie haha
1939,0,working freakin computer trying save stuff harddrive seems failed miserably
1940,1,need see betsycon now someone buy plane ticket please
1941,0,sianhughes oh god watched to claire escape again really quite sad
1942,0,toystorywasok party moved next weekend stupid weather
1943,0,u see dont shadez
1944,1,aeire ahahaha happens time poor angela
1945,0,relapse mom dad need you jesus fucking christ stay away
1946,0,thinking f lt
1947,1,pretentiousgit cute dog
1948,1,fly meaway sorry hon know feel though i m usually crazy family gathering probably hold back like also
1949,0,another qi start i ll missing next
1950,0,ever come across something reminds alot one person completely broke heart cause
1951,1,good morning people good old germany soooo cold
1952,0,got paid nowhere near much thought would
1953,1,jajmiami happy monday hope great week
1954,0,yagulmez yea got outta one too i want back tho feel way i m cool dude lil
1955,0,need retail therapy bad ahhh gimme money geebus
1956,0,going excursion week twitting
1957,0,kimp know already two week
1958,1,dinner ali tonight celebrating first day new job near trader joe s might stop
1959,1,outside hour sun bloody hot tan wait monday spend around hour outside
1960,1,well would seem enter nine s individual without ssn itin ein according apple hurray
1961,0,finger hurt
1962,0,got sunburn arm better news new guitar hero metallica game came beyond happy that
1963,0,miss home farm
1964,1,headed see friend new baby gave trip lake cause dance class good mama
1965,0,aquadj james battle everything too kind love hate relationship
1966,1,shot new rifle auto reset plinker target built shop class work great
1967,0,killzonedotcom ti sad day
1968,1,treewatcher ah veronica pleasure meet stephen
1969,1,emillyschwindt thanks lady bummer sure
1970,0,jamjar that s mean them
1971,1,phil download iemoticons appstore ï¿½ cool
1972,1,jerrytrainor never miss icarly son huge crush miranda
1973,0,liamjhayter chroma key coolness cumulus seminar going online see live feed
1974,1,kitankhamun pitty wasnt arnd huh wld rlly wet myself otherwise wedding gr gd time amp lot smiley face
1975,1,haha gunna go buy whole bunch emo punk clothes
1976,0,aw want classic burger
1977,0,seriously bored now
1978,0,tummy hurt
1979,0,davidmihm please tweet meme
1980,0,music soothes soul
1981,1,currently playing part list
1982,1,met mother best show ever
1983,0,tomcopestake sorry get worry one day time hang done
1984,0,hate working sunny boohoo
1985,1,happy mother day mom mom mom mom woot woot mom rule
1986,1,happy finally may indy horror yet still remain held captive indy s spirit
1987,1,cultural tour loiusa s family kangaroo sight seeing cemetary lovely
1988,0,attybowen arlando totally done havn e talked long time now find worth while man
1989,1,houstatlantavegas sooner later nov th night off successful last hour heavennn
1990,1,hannahgramm haha damn inviting
1991,1,liking fake tan orange colour
1992,1,morning ali big thank yesterday love always xxxx bike today forget get helmet ok
1993,1,ralfrottmann thank s see i m back smiling
1994,1,annabranch let know go
1995,0,morning again hate morning offensive
1996,0,wow way discouraged idk anymore fml
1997,1,home beach foot burned proud sunscreen
1998,1,flattycharn know imux referring me who ah but miss
1999,1,day hour work really like job fabulous b
2000,1,watching bleach
2001,1,xxdepinkladyxx know join freekin club
2002,1,going day still new tattoo
2003,1,pleasebemine australia get may th off enjoy
2004,1,got up went outside planted flower watched lee evans dvd knew bank holiday fun
2005,0,wish would rain but
2006,0,nkirchmar minute go day weekend leading birthday tuesday work birthday
2007,0,little sad school ended today moving going miss new friend year got hair cut
2008,0,ashleeadams know say except hug
2009,1,davidarchie tweet sooo much you gahd hahaha
2010,0,xjakexchaosx playing st pete sold month im trying go orlando one live st pete lol
2011,1,live long prosper lol star trek best
2012,1,shcollectibles aww thanks glad appreciated weather much yesterday
2013,1,iced coffee vanilla ice cream uber sick mix
2014,1,gemma rigby well neck hurt moving massage me massage u lol
2015,1,mother s day
2016,0,nooooooo sue retiring no
2017,1,finally leaving place woohoo school time
2018,0,faizis wish kiau go cat heaven too meet seuss
2019,0,wow realized limit quot more quot button suck guess two day max sign twitter
2020,1,xxlovexxpeace yes want keep going would
2021,0,wish cali wit mari nd lupita seeing vfc fair
2022,1,http twitpic com jhl picked watch yey
2023,0,apartment emptying amp day sad last week
2024,0,sigh it s always sad watch series finale no green wing left watch
2025,0,xfiles disc work rippin
2026,0,tapulous where s uk love
2027,1,a mccallie wow replaced already thought coming back steak
2028,1,ok shoe club cool fun poppin except ppl tryna dance wit
2029,1,crawling bed super happy penguin tonight
2030,1,ff arieschild vega buddy amp laker lover uuugh love even though way n chicago
2031,1,frankiero thats amazing quote indeed btw nice weekend
2032,1,looked cute too
2033,0,sad beautiful marisa dress leaving today tear
2034,1,spilled beer leg wasted half beer home now met cute girl good conversation
2035,0,assistant watch notebook miss deborah
2036,1,posted pic college myspace www myspace com katieheidie
